,rr_max,rr_min,hr_max,hr_min,PVC,PAC,AF,Normal
213,0.844,0.652,92.02453987730061,71.09004739336493,1,32,0,41
214,0.912,0.776,77.31958762886597,65.78947368421052,0,2,0,63
215,0.924,0.748,80.21390374331551,64.93506493506493,0,4,0,62
216,0.88,0.588,102.04081632653062,68.18181818181819,1,21,2,49
217,1.176,0.148,405.4054054054054,51.02040816326531,3,28,22,28
218,1.072,0.168,357.1428571428571,55.97014925373134,0,38,33,18
219,0.884,0.256,234.375,67.87330316742081,1,33,18,31
220,0.848,0.264,227.27272727272725,70.75471698113208,1,32,13,33
221,0.856,0.348,172.41379310344828,70.09345794392523,1,45,8,25
222,0.824,0.268,223.88059701492537,72.81553398058253,1,33,13,35
223,0.812,0.236,254.23728813559325,73.89162561576354,2,34,36,16
224,0.856,0.58,103.44827586206897,70.09345794392523,0,49,5,26
225,0.836,0.356,168.53932584269663,71.77033492822967,0,52,7,21
226,0.916,0.156,384.61538461538464,65.50218340611353,2,44,13,21
227,1.464,0.164,365.8536585365853,40.98360655737705,2,37,27,17
228,1.292,0.22,272.72727272727275,46.43962848297213,2,29,55,6
229,0.844,0.144,416.6666666666667,71.09004739336493,0,48,25,13
230,0.872,0.224,267.85714285714283,68.80733944954129,1,30,31,26
231,0.764,0.22,272.72727272727275,78.53403141361257,0,39,37,14
232,0.848,0.592,101.35135135135135,70.75471698113208,0,42,0,37
233,0.908,0.592,101.35135135135135,66.07929515418502,0,38,3,33
234,0.876,0.608,98.6842105263158,68.4931506849315,0,34,1,37
235,1.256,0.068,882.3529411764705,47.77070063694268,2,48,22,14
236,0.764,0.628,95.54140127388536,78.53403141361257,0,68,0,12
237,0.792,0.676,88.75739644970413,75.75757575757575,0,68,0,8
238,0.804,0.656,91.46341463414633,74.62686567164178,0,55,0,22
239,0.792,0.544,110.29411764705881,75.75757575757575,0,41,26,17
240,1.34,0.272,220.58823529411762,44.776119402985074,1,36,44,7
241,0.784,0.612,98.03921568627452,76.53061224489795,0,74,1,7
242,0.848,0.664,90.36144578313252,70.75471698113208,0,48,0,27
243,1.232,0.212,283.0188679245283,48.701298701298704,1,41,20,19
244,0.776,0.232,258.6206896551724,77.31958762886597,0,47,18,19
245,0.848,0.58,103.44827586206897,70.75471698113208,1,51,19,13
246,0.876,0.64,93.75,68.4931506849315,0,31,0,43
247,0.94,0.696,86.20689655172414,63.829787234042556,0,15,0,54
248,0.912,0.716,83.79888268156425,65.78947368421052,0,20,0,49
249,0.908,0.66,90.9090909090909,66.07929515418502,0,25,0,46
